city,admin_name,capital,population
"'Ain Abessa, Algeria",Sétif,,16770.0
"'Ain Abid, Algeria",Constantine,,31743.0
"'Ain Arnat, Algeria",Sétif,,43551.0
"'Ain Azel, Algeria",Sétif,,48487.0
"'Ain Babouche, Algeria",Oum el Bouaghi,,16129.0
"'Ain Boucif, Algeria",Médéa,,24434.0
"'Ain Fekan, Algeria",Mascara,,10573.0
"'Ain Kerma, Algeria",El Tarf,,12182.0
"'Ain Leuh, Morocco",Fès-Meknès,,8989.0
"'Ain Mabed, Algeria",Djelfa,,19997.0
"'Ain Merane, Algeria",Relizane,,51326.0
"'Ain Mouilah, Algeria",Djelfa,,13155.0
"'Ain Naga, Algeria",Biskra,,10054.0
"'Ain Roua, Algeria",Sétif,,11499.0
"'Ain Taghrout, Algeria",Bordj Bou Arréridj,,11103.0
"'Ain Tellout, Algeria",Tlemcen,,10286.0
"'Ain Tolba, Algeria",Aïn Temouchent,,11188.0
"'Ain el Arbaa, Algeria",Aïn Temouchent,,12443.0
"'Ain el Assel, Algeria",El Tarf,,12482.0
"'Ain el Bell, Algeria",Djelfa,,20436.0
"'Ain el Hammam, Algeria",Tizi Ouzou,,20401.0
"'Ain el Melh, Algeria",M’sila,,39798.0
"'Ain el Turk, Algeria",Oran,,50000.0
"'Ali Ben Sliman, Morocco",Marrakech-Safi,,19164.0
"'Ayn Bni Mathar, Morocco",Oriental,,15488.0
"'Tlat Bni Oukil, Morocco",Béni Mellal-Khénifra,,14960.0
"'s-Gravendeel, Netherlands",Zuid-Holland,,9000.0
"'s-Gravenzande, Netherlands",Zuid-Holland,,22190.0
"'s-Heerenberg, Netherlands",Gelderland,,8635.0
"'s-Hertogenbosch, Netherlands",Noord-Brabant,admin,157486.0
"A Coruna, Spain",Galicia,minor,249261.0
"A Yun Pa, Vietnam",Gia Lai,minor,53720.0
"Aabenraa, Denmark",Syddanmark,minor,15685.0
"Aachen, Germany",North Rhine-Westphalia,minor,252769.0
"Aadorf, Switzerland",Thurgau,,9036.0
"Aalborg, Denmark",Nordjylland,admin,143598.0
"Aalen, Germany",Baden-Württemberg,minor,69147.0
"Aaley, Lebanon",Mont-Liban,minor,35000.0
"Aalsmeer, Netherlands",Noord-Holland,minor,31991.0
"Aalst, Belgium",Flanders,minor,88854.0
"Aalten, Netherlands",Gelderland,minor,27120.0
"Aanekoski, Finland",Keski-Suomi,minor,17971.0
"Aarau, Switzerland",Aargau,admin,21503.0
"Aarhus, Denmark",Midtjylland,minor,290598.0
"Aars, Denmark",Nordjylland,minor,8657.0
"Aarsal, Lebanon",Baalbek-Hermel,,50000.0
"Aarschot, Belgium",Flanders,,29965.0
"Aartselaar, Belgium",Flanders,,14427.0
"Aasiaat, Greenland",Qeqertalik,admin,3069.0
"Ab Pakhsh, Iran",Būshehr,,18913.0
"Aba, China",Sichuan,minor,11055.0
"Aba, Nigeria",Abia,minor,1160000.0
"Abadan, Turkmenistan",Ahal,,40813.0
"Abadiania, Brazil",Goiás,minor,11452.0
"Abadla, Algeria",Béchar,,13636.0
"Abadou, Morocco",Marrakech-Safi,,10484.0
"Abaete, Brazil",Minas Gerais,minor,22360.0
"Abaetetuba, Brazil",Pará,minor,158188.0
"Abai, Paraguay",Caazapá,,3024.0
"Abaiara, Brazil",Ceará,minor,10038.0
"Abaji, Nigeria",Federal Capital Territory,minor,127900.0
"Abakaliki, Nigeria",Ebonyi,admin,
"Abakan, Russia",Khakasiya,admin,181709.0
"Abalessa, Algeria",Tamanrasset,,9163.0
"Abancay, Peru",Apurímac,admin,72277.0
"Abangaritos, Costa Rica",Puntarenas,,18039.0
"Abano Terme, Italy",Veneto,,20231.0
"Abaran, Spain",Murcia,,13000.0
"Abare, Brazil",Bahia,minor,17639.0
"Abarkuh, Iran",Yazd,minor,27524.0
"Abashiri, Japan",Hokkaidō,,34640.0
"Abasingammedda, Sri Lanka",Central,,11000.0
"Abasolo, Mexico",Guanajuato,minor,29002.0
"Abay, Kazakhstan",Qaraghandy,minor,25550.0
"Abaza, Russia",Khakasiya,,12272.0
"Abbeville, France",Hauts-de-France,minor,22406.0
"Abbeville, United States",Louisiana,,11086.0
"Abbiategrasso, Italy",Lombardy,,32425.0
"Abbigeri, India",Karnātaka,,100000.0
"Abbots Langley, United Kingdom",Hertfordshire,,19574.0
"Abbotsford, Canada",British Columbia,,153524.0
"Abbottabad, Pakistan",Khyber Pakhtunkhwa,minor,148587.0
"Abcoude, Netherlands",Utrecht,,8791.0
"Abdul Hakim, Pakistan",Punjab,,51494.0
"Abdul Khel, Pakistan",Khyber Pakhtunkhwa,,12000.0
"Abdulino, Russia",Orenburgskaya Oblast’,minor,17274.0
"Abdullahnagar, India",Bihār,,17446.0
"Abdurahmoni Jomi, Tajikistan",Khatlon,minor,18800.0
"Abeche, Chad",Ouaddaï,admin,76492.0
"Abejorral, Colombia",Antioquia,minor,20287.0
"Abelardo Luz, Brazil",Santa Catarina,minor,17392.0
"Abengourou, Côte d’Ivoire",Comoé,admin,164424.0
"Abensberg, Germany",Bavaria,,14685.0
"Abeokuta, Nigeria",Ogun,admin,888924.0
"Aberaman, United Kingdom",Rhondda Cynon Taff,,9964.0
"Aberbargoed, United Kingdom",Caerphilly,,9184.0
"Aberdare, United Kingdom",Rhondda Cynon Taff,,14506.0
"Aberdeen, United Kingdom",Aberdeen City,,200680.0
"Aberdeen, United States",South Dakota,,28297.0
"Abergavenny, United Kingdom",Monmouthshire,,10766.0
"Abergele, United Kingdom",Conwy,,10577.0
"Abertawe, United Kingdom",Swansea,,246700.0
"Abertillery, United Kingdom",Blaenau Gwent,,10925.0
"Aberystwyth, United Kingdom",Ceredigion,,10707.0
"Abha, Saudi Arabia",‘Asīr,admin,236157.0
"Abhar, Iran",Zanjān,minor,99285.0
"Abhayapuri, India",Assam,,19368.0
"Abhepur, India",Haryāna,,1895686.0
"Abhia, India",Bihār,,11748.0
"Abhwar, India",Bihār,,13390.0
"Abi al Khasib, Iraq",Al Başrah,minor,240300.0
"Abidjan, Côte d’Ivoire",Abidjan,primary,4980000.0
"Abiko, Japan",Chiba,,130290.0
"Abilene, United States",Texas,,127130.0
"Abim, Uganda",Abim,admin,24400.0
"Abingdon, United Kingdom",Oxfordshire,,33130.0
"Abington, United States",Pennsylvania,,58470.0
"Abinsk, Russia",Krasnodarskiy Kray,minor,14378.0
"Abiramam, India",Tamil Nādu,,8762.0
"Abiy Adi, Ethiopia",Tigray,,16115.0
"Abjij, Egypt",Al Fayyūm,,10057.0
"Ablu, India",Punjab,,8830.0
"Abnub, Egypt",Asyūţ,,67526.0
"Abohar, India",Punjab,,145302.0
"Aboisso, Côte d’Ivoire",Comoé,minor,100903.0
"Abomey, Benin",Zou,admin,90195.0
"Abomey-Calavi, Benin",Atlantique,,655965.0
"Abomsa, Ethiopia",Oromīya,,19208.0
"Abong Mbang, Cameroon",Est,,18700.0
"Abony, Hungary",Pest,,14624.0
"Aborlan, Philippines",Palawan,,38736.0
"Aboso, Ghana",Western,,9945.0
"Abou el Hassan, Algeria",Chlef,,20164.0
"Abovyan, Armenia",Kotayk’,,44400.0
"Abqaiq, Saudi Arabia",Ash Sharqīyah,,45032.0
"Abra Pampa, Argentina",Jujuy,minor,9425.0
"Abra de Ilog, Philippines",Occidental Mindoro,,35176.0
"Abram, United Kingdom",Wigan,,9855.0
"Abrandabad-e Shahediyeh, Iran",Yazd,,18309.0
"Abrantes, Portugal",Santarém,minor,39325.0
"Abre Campo, Brazil",Minas Gerais,minor,13927.0
"Abrego, Colombia",Norte de Santander,minor,38627.0
"Abrera, Spain",Catalonia,,13014.0
"Abreu e Lima, Brazil",Pernambuco,minor,98462.0
"Abreus, Cuba",Cienfuegos,,23144.0
"Abrisham, Iran",Eşfahān,,19406.0
"Absecon, United States",New Jersey,,9099.0
"Abu Dhabi, United Arab Emirates",Abū Z̧aby,primary,1483000.0
"Abu Dis, West Bank",,,12251.0
"Abu Ghurayb, Iraq",Baghdād,minor,189000.0
"Abu Hamad, Sudan",River Nile,,50000.0
"Abu Hardub, Syria",Dayr az Zawr,,8657.0
"Abu Hulayfah, Kuwait",Al Aḩmadī,,164212.0
"Abu Hummus, Egypt",Al Buḩayrah,,569157.0
"Abu Khashab, Syria",Dayr az Zawr,,9046.0
"Abu Qir, Egypt",Al Iskandarīyah,,37997.0
"Abu Qurqas, Egypt",Al Minyā,,63264.0
"Abu Sir Bana, Egypt",Al Gharbīyah,,22214.0
"Abu Suwayr, Egypt",Ash Sharqīyah,,30320.0
"Abu Tij, Egypt",Asyūţ,,70969.0
"Abu Tisht, Egypt",Qinā,,514535.0
"Abu Za`bal, Egypt",Al Qalyūbīyah,,55938.0
"Abu al Matamir, Egypt",Al Buḩayrah,,44415.0
"Abu, India",Rājasthān,,22943.0
"Abucay, Philippines",Bataan,,42984.0
"Abuja, Nigeria",Federal Capital Territory,primary,3770000.0
"Abulug, Philippines",Cagayan,,34579.0
"Abuna, Brazil",Rondônia,,1929.0
