city,latitude,longitude,dateTime,month_num,year,aqi_chn_mep,aqi_ind_cpcb,aqi_kor_airkorea,aqi_tha_pcd,aqi_uaqi,region_code,category,dominantPollutant,co,nh3,nmhc,no,no2,o3,pm10,pm25,so2,has_any_aqi,n_pollutants_present,clim_avg_rel_humidity_pct,clim_daily_mean_c,clim_mean_daily_max_c,clim_mean_daily_min_c,clim_mean_monthly_sunshine_hours,clim_record_high_c,clim_record_low_c,_merge,citycat_admin_name,citycat_capital,citycat_population,_merge_citycat
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 06:00:00+00:00,11,2025,,,,48.0,51.0,th,Moderate air quality,pm10,1935.59,,,,21.28,50.51,63.8,22.83,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 07:00:00+00:00,11,2025,,,,49.0,54.0,th,Moderate air quality,pm10,2001.57,,,,27.02,56.7,56.64,21.73,2.77,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 08:00:00+00:00,11,2025,,,,48.0,50.0,th,Moderate air quality,o3,1995.64,,,,26.95,62.81,60.52,17.72,6.32,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 09:00:00+00:00,11,2025,,,,48.0,50.0,th,Moderate air quality,o3,1926.11,,,,21.51,62.45,56.34,15.17,2.33,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 10:00:00+00:00,11,2025,,,,49.0,52.0,th,Moderate air quality,o3,1897.93,,,,17.45,59.81,52.78,16.04,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 11:00:00+00:00,11,2025,,,,54.0,61.0,th,Good air quality,pm10,1897.48,,,,19.66,46.17,43.55,16.86,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 12:00:00+00:00,11,2025,,,,54.0,58.0,th,Moderate air quality,pm10,1898.05,,,,42.42,32.51,49.32,17.71,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 13:00:00+00:00,11,2025,,,,49.0,59.0,th,Moderate air quality,pm10,1903.41,,,,49.01,28.06,46.83,22.75,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 14:00:00+00:00,11,2025,,,,46.0,58.0,th,Moderate air quality,pm10,561.58,,,,34.78,35.24,47.66,25.21,1.89,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 15:00:00+00:00,11,2025,,,,43.0,59.0,th,Moderate air quality,pm25,563.39,,,,33.58,28.86,45.07,25.63,1.89,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 16:00:00+00:00,11,2025,,,,43.0,57.0,th,Moderate air quality,pm10,657.38,,,,39.51,25.18,50.85,25.05,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 17:00:00+00:00,11,2025,,,,42.0,54.0,th,Moderate air quality,pm10,605.6,,,,32.93,29.88,56.41,25.58,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 18:00:00+00:00,11,2025,,,,42.0,55.0,th,Moderate air quality,pm10,585.27,,,,24.98,29.29,54.88,23.6,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
"Bangkok, Thailand",13.7563,100.5018,2025-11-15 19:00:00+00:00,11,2025,,,,42.0,51.0,th,Moderate air quality,pm10,598.74,,,,26.67,24.24,64.49,23.16,1.22,True,6,68.8,28.4,33.1,24.7,194.8,38.8,14.2,both,Krung Thep Maha Nakhon,primary,18007000.0,both
